,RB1,CDH1,PTEN,BRCA2,CDKN2A,TP53,CTNNB1,CCNE1,CCND1,CDH2,CDH3,ERBB2,ERBB3
TCGA-A2-A0YK-01,0.5440699999999999,-1.7661,-0.37012,0.17135,-0.9010100000000001,-0.18893,-1.5967,-0.82263,0.59414,0.70512,-0.05915700000000001,-0.40708,0.78522
TCGA-A2-A0YL-01,0.18897,-2.5163,0.9205399999999999,-0.25942,0.40559,-0.9799899999999999,-0.9246,-0.82721,0.096944,0.08328200000000001,-0.017695,-0.52155,0.39281
TCGA-A2-A0YM-01,-0.17677,-0.10105,-0.2143,-0.11992,2.1612,0.02446,-0.072135,1.2382,-0.22266999999999998,0.07724400000000001,0.033852,-0.17792,0.038097000000000006
TCGA-A2-A0YT-01,0.30607,0.9296,0.32334,-0.08380399999999999,0.38763000000000003,-0.27929,-0.18769,-0.40103,0.51177,0.25137,-0.0009585,-0.0063827,0.36236999999999997
TCGA-A2-A1FV-01,0.19255,-2.3138,-0.13365,0.093385,0.13003,-0.51731,-2.0531,-0.70567,0.25403000000000003,-0.29886999999999997,0.0028668,-0.12911,-0.07989500000000001
TCGA-A2-A1FW-01,0.22885999999999998,0.275,0.85825,0.23413,0.04301,-0.24366999999999997,0.28703,-1.0939,0.61395,0.39869,-0.37522,-0.40836,0.28719
TCGA-A2-A1FX-01,0.074046,-0.7477,0.46502,-0.39636,-0.088625,-0.063486,-0.50207,-0.46993,0.35297,-0.028130000000000002,-0.15467999999999998,0.41703999999999997,1.0379
TCGA-A2-A1FZ-01,1.3095,-0.70353,-0.41302,-0.10463,-0.70281,0.37861999999999996,-1.4881,-0.71058,0.74558,0.78565,0.7247399999999999,0.016163999999999998,-0.4659
TCGA-A2-A1G0-01,-0.040901,0.22738000000000003,0.73777,-0.26721999999999996,0.61152,-0.19369,-0.18264,-1.0138,0.13858,0.13494,-0.2678,1.2386,0.61598
TCGA-A2-A1G1-01,0.068201,-1.6763,0.57465,-0.16243,-0.21700999999999998,-0.045821,-0.98644,-0.50735,0.41126999999999997,0.73463,0.34302,0.9419200000000001,-0.45925
TCGA-A2-A1G4-01,0.12689,1.2536,0.9219700000000001,-0.23376999999999998,-0.43282,-0.47516,1.5463,-1.0348,0.48206000000000004,0.21494000000000002,-0.5767100000000001,0.29246,0.96454
TCGA-A2-A1G6-01,0.5227,-0.34121999999999997,-0.54184,-0.29436,-0.00041064,-0.23337,-0.6552100000000001,-0.79851,0.043758,0.027835000000000002,0.00082405,-0.60342,-0.59263
TCGA-A2-A259-01,0.060336,-4.2774,-0.48582,-0.0386,0.61543,-0.96186,-1.8001,-0.47276999999999997,0.55679,0.66861,0.7298,-0.37861999999999996,-0.40251
TCGA-A2-A25A-01,-0.10870999999999999,-2.1887,1.3776,-0.029570999999999997,0.52892,-0.18245,-1.0497,-0.67956,0.098965,0.12353,-0.043358999999999995,-0.33732,-0.081095
TCGA-A2-A25B-01,0.046148,0.49971000000000004,0.21622,-0.06837599999999999,0.32723,-0.4121,0.42723999999999995,-0.86593,-0.015704,-0.017712000000000002,-0.1338,0.44948,0.993
TCGA-A2-A25C-01,0.045297000000000004,0.9379700000000001,1.3675,-0.093817,-0.10715999999999999,-0.031113,-0.37348000000000003,-0.5797899999999999,0.086137,0.49986,-0.14966,0.9379700000000001,-0.28471
TCGA-A2-A25D-01,-0.11700999999999999,-3.0204,0.5342100000000001,0.010605,-0.21785,-0.095006,-2.1627,-0.8948299999999999,0.032576999999999995,-0.085582,-0.22541999999999998,-0.10895,0.08413
TCGA-A2-A25E-01,-0.055767,0.63915,-0.3383,-0.089518,-0.063992,-0.15019000000000002,-0.10182000000000001,-0.89851,0.12705999999999998,0.18544000000000002,-0.065616,0.23856,0.61115
TCGA-A2-A25F-01,-0.067629,-0.5454600000000001,-0.34672,0.028436000000000003,1.3324,-0.36726,0.83509,0.46136000000000005,0.28583000000000003,-0.22358000000000003,-0.10518,0.31305,-0.18812
TCGA-A2-A3KC-01,-0.0024459,-2.1844,0.010491,0.044117,-0.11882000000000001,-0.34162,-1.6429,-0.8274,0.20711,-0.12803,0.14937999999999999,0.21718,0.16205
TCGA-A2-A3KD-01,0.5363399999999999,0.50942,0.64936,-0.11581,-0.24051999999999998,0.28118000000000004,-0.5233800000000001,-0.9255899999999999,0.079091,-0.15966,0.12821,0.06612,0.14711
TCGA-A2-A3XT-01,-0.25304,-0.7580100000000001,0.013113,0.11481,1.1209,0.69375,-0.83193,-0.5291600000000001,0.081401,-0.21535,0.075749,-1.1167,-0.066906
TCGA-A2-A3XU-01,-0.12372000000000001,0.28893,0.8868799999999999,0.067755,0.78765,0.24168,-0.047519,0.16455,-0.0024300999999999997,-0.1771,0.25098000000000004,-0.073103,0.5445300000000001
TCGA-A2-A3XV-01,-0.1272,0.044991,0.16075,-0.0015749,0.32173,0.38443,-0.6451899999999999,-0.48418999999999995,0.0012997,-0.08496000000000001,0.43153,1.3219,0.68362
TCGA-A2-A3XW-01,-0.14733,0.4349,-0.1037,0.072008,-0.093058,-0.014512,-0.36558,-0.7493,0.0014408,-0.17076,0.05836,-0.094093,-0.016066999999999998
TCGA-A2-A3XX-01,0.42202,-0.33166,-0.28944000000000003,0.028199000000000002,-0.9021299999999999,0.08505399999999999,-0.56943,-0.85634,0.48595,0.67182,0.44976000000000005,-0.9799,-0.23421
TCGA-A2-A3XZ-01,0.17282,-0.49058,-0.03386,0.024338,-0.9234,0.14511,-1.2261,-0.39371,0.16605,0.57989,0.087288,2.8283,0.15864
TCGA-A2-A4RW-01,-0.29584,-2.3351,-0.65459,-0.033972,-0.25289,-1.3331,-1.16,-1.3206,0.013451,0.44897,0.1585,-0.5399,-0.14970999999999998
TCGA-A2-A4RX-01,-0.32542,-0.8055100000000001,-0.52046,0.14343,1.4292,0.17213,-0.45563000000000003,-0.5044,-0.010345,0.24859,0.31876,-0.26955,-0.6140399999999999
TCGA-A2-A4RY-01,0.7088399999999999,-1.7951,-1.6079,0.5704199999999999,-1.0067,0.31624,-1.8568,-1.4244,0.15795,0.92238,0.20954,-0.39984000000000003,-0.11778
TCGA-A2-A4S0-01,-0.71473,0.8123,0.40592,-0.18315,0.8343,-0.83054,-0.41229,-1.4286,-0.20469,-0.44673,-0.22114,0.086395,0.42135
