,mRNA_RB1,DNA_RB1,mRNA_CDH1,DNA_CDH1,mRNA_PTEN,DNA_PTEN,mRNA_BRCA2,DNA_BRCA2,mRNA_CDKN2A,DNA_CDKN2A,mRNA_TP53,DNA_TP53,mRNA_CTNNB1,DNA_CTNNB1,mRNA_CCNE1,DNA_CCNE1,mRNA_CCND1,DNA_CCND1,mRNA_CDH2,DNA_CDH2,mRNA_CDH3,DNA_CDH3,mRNA_ERBB2,DNA_ERBB2,mRNA_ERBB3,DNA_ERBB3
TCGA-BH-A0RX-01,-0.34048121050250324,0.29802111930310593,-0.04042493171967834,0.7352902476269623,-0.1401541767145872,0.3524539206142732,-0.6939291867299184,0.06385461562977926,-0.06017209074539491,1.0345641162806638,-0.6916762765573476,1.0487076162779574,-0.6414448425182742,-0.03527337425365115,0.3472413070209178,-0.23226413260925322,-0.6001238206408704,-0.4570372941528386,-0.16570042025697787,0.025665766703169206,2.561059540597353,0.7582397242115261,-0.37008844109247746,-0.3636914935042458,-1.1622783704682615,-0.10249984746073122
TCGA-BH-A0W4-01,0.40447256617249727,0.572002965999442,0.15237390955794972,-0.7151376379554479,0.8259273907492165,0.33930586717512634,-0.2472698080533365,0.330266852340066,-0.36719745729296605,0.2598344581908734,-0.2188248599323518,-0.7060926274710464,0.4096821599129891,0.3292879866940887,-0.32974714322741544,-0.22342649617227808,-0.07596473397929425,-0.4839255282714334,-0.08935545426593816,0.03501014986693987,0.20974743075947616,-0.7235703895570208,-0.23563932773680066,-0.32732968763077275,0.15541918803369212,-0.12719556977456445
TCGA-BH-A0W5-01,0.3718411312517689,0.743241620184652,-0.45699493809757363,0.36680316318170136,-0.009570865800116807,0.3294448270957662,-0.30408237905632746,0.49677450028399517,-0.3629050676889427,0.2505562586927921,0.22733249535856687,0.9645520095617529,0.3050709482211783,0.3401165419697642,-0.350799160822485,-0.20398369601093275,-0.19808739097122655,-0.4901994495657722,-0.1530637743010885,0.025665766703169206,0.034570965412216714,0.38177985747032767,-0.3323727554743496,-0.32300090121726405,-0.377147933708987,-0.10602780779127881
TCGA-BH-A18F-01,0.893011627343905,0.6167884601709585,-1.2101701572539785,-0.5870818426517755,-0.08574801394226383,0.42148120116979426,1.128104758451366,0.373815006417709,-0.39292383243588536,1.435846244572681,0.2139731285204157,-0.5720670315896836,-0.2511286026051686,-0.44314895630409284,-0.2783881781254217,-0.626422717698345,-0.4573214640417213,-0.47048141121213605,-0.1722721075916896,-0.513972361004587,-0.40451861607604056,-0.5927439110441219,-0.373491180063571,-0.7498192415892221,0.7477899252684943,-0.05310840283306479
TCGA-BH-A18G-01,-0.40572434568492266,0.6009818151692468,-0.5875321997016842,0.6856359596520689,0.3169527866867266,0.3425928805349131,-0.9194005457994149,0.35844506968442325,-0.3045092928105745,0.24823670881827176,1.8068114996089724,0.8772795285227261,-0.9291113847094759,-2.08187032135631,-0.29359567026117234,-0.30650027867984453,-0.31155542206745757,-0.4875106261539127,-0.16245250439052844,0.04435453303071055,-0.14542975117496842,0.7075110896861163,-0.4082657915396839,-0.8995952514966232,0.01143602334560679,-0.13777945076620723
TCGA-BH-A18H-01,-0.5696827122050228,0.0055981867714395275,0.23511644503554452,0.0035428458916922983,-0.30175062343304326,0.5365266687623292,-0.5707334842118633,-0.2204892139360075,-0.3542517209072636,0.07427046822924696,-1.231969594999117,0.07624282755737265,0.019419159905492086,0.9681727479589397,-0.37396602004284396,-0.29236006038068424,-0.23100593326807348,-0.27061220426391486,-0.054226251488165594,-0.6120883842241789,-0.5202461239465331,0.010659846994961898,-0.3435724100010779,-0.5636814258083478,0.7915539892563771,0.9770560136868349
TCGA-BH-A18J-01,-0.0023218370172431095,0.5957129335020096,-0.09960760769077855,-0.5139071024782487,2.0033956488405744,0.3524539206142732,-0.27662568870017734,0.3533217574399946,-0.36143450890260287,0.26215400806539374,0.2960024711612518,-0.631287643723309,-0.5726634696135137,-1.4646426706428095,-0.2528504389312024,-0.2746847875067339,-0.12997467689914086,-0.24282769567470022,-0.09546004390799724,0.12845398150464657,-0.04717195126598273,-0.5179859233224656,-0.29267309330919783,-0.7385643969140995,-0.40185211688665545,-0.12719556977456445
TCGA-BH-A18L-01,-0.09565162086545517,-0.20779152075166835,-0.033744666600700086,-1.2482678877911444,0.18835442646592662,0.8685150181007875,0.4720366828853329,-0.4279833598353654,-0.4510695810858894,-1.530858044938822,-0.9905805070388086,-1.4229737217201952,-1.080897642882895,-0.6633295802428266,-0.3173551945782664,0.11593874300756786,0.17665397188005383,2.580436886777751,-0.20733824968843703,0.8689963472334721,-0.514283585892501,-1.268235728671946,-0.15403992869694555,0.5886415174676686,-0.10619500125505521,0.44786196410469464
TCGA-BH-A18M-01,0.37712226697203954,0.5456585576632559,-0.5153284097721567,-0.49822680101249267,1.0806850330468807,0.3294448270957662,0.1429918037148204,0.304650291117923,-0.44427811909104165,0.2598344581908734,1.257256379535605,1.020655747372556,0.7534464574249409,0.31484991299318815,-0.2925045428563273,-0.2428692963336234,-0.23651342247442872,-0.07970574202189197,-0.11904158142315661,0.04435453303071055,-0.2539427112846491,-0.5019663545249676,-0.3206242327339369,-0.30741727012863274,-0.7713447421594309,-0.10249984746073122
TCGA-BH-A18N-01,0.3015263648990387,1.7364258144588705,-0.05372985358613894,-0.7491116244645855,-0.17464785137097016,0.2571305331804584,-0.1748739659111342,1.4625188583587847,-0.41760250695263124,0.15313516396293822,0.5441526504011055,2.5323397939414134,0.03380992302150267,2.0113235728490073,-0.3825296903309407,0.6302891836395218,0.09901003483508983,-0.5063323900369291,-0.16772226699313994,1.1703527042650763,-0.42344544183089805,-0.7582794552849327,-0.2461782405903327,0.09948865274118526,0.27247215610999,1.5380017062439033
