,ascore,dscore,escore,fscore,ncbiTaxonId,nscore,preferredName_A,preferredName_B,pscore,score,stringId_A,stringId_B,tscore
3130,0.0,0.0,0.0,0.0,9606,0.0,CDH2,ACTA2,0.0,0.424,ENSP00000269141,ENSP00000402373,0.424
3131,0.081,0.0,0.064,0.0,9606,0.0,CDH2,PAX6,0.0,0.73,ENSP00000269141,ENSP00000404100,0.711
3132,0.0,0.0,0.0,0.0,9606,0.0,CDH2,NDRG1,0.0,0.428,ENSP00000269141,ENSP00000404854,0.428
3133,0.0,0.0,0.0,0.0,9606,0.0,CDH2,ESR1,0.0,0.492,ENSP00000269141,ENSP00000405330,0.492
3134,0.052,0.0,0.0,0.0,9606,0.0,CDH2,ESRP1,0.0,0.436,ENSP00000269141,ENSP00000405738,0.43
3135,0.0,0.0,0.053,0.0,9606,0.0,CDH2,HRAS,0.0,0.679,ENSP00000269141,ENSP00000407586,0.675
3136,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CLDN4,0.0,0.625,ENSP00000269141,ENSP00000409544,0.625
3137,0.0,0.0,0.0,0.0,9606,0.0,CDH2,ITPKB,0.0,0.497,ENSP00000269141,ENSP00000411152,0.498
3138,0.0,0.0,0.215,0.0,9606,0.0,CDH2,PTPRC,0.0,0.541,ENSP00000269141,ENSP00000411355,0.44
3139,0.08,0.0,0.064,0.0,9606,0.0,CDH2,GJC1,0.0,0.423,ENSP00000269141,ENSP00000411528,0.384
3140,0.095,0.9,0.0,0.0,9606,0.0,CDH2,BDNF,0.0,0.94,ENSP00000269141,ENSP00000414303,0.4
3141,0.061,0.0,0.0,0.0,9606,0.0,CDH2,EFNA4,0.0,0.409,ENSP00000269141,ENSP00000414378,0.397
3142,0.061,0.9,0.0,0.0,9606,0.0,CDH2,SPARCL1,0.0,0.909,ENSP00000269141,ENSP00000414856,0.113
3143,0.0,0.0,0.798,0.0,9606,0.0,CDH2,PTBP3,0.0,0.808,ENSP00000269141,ENSP00000414921,0.089
3144,0.0,0.9,0.0,0.0,9606,0.0,CDH2,SERPINA1,0.0,0.915,ENSP00000269141,ENSP00000416066,0.185
